question_id,room_id,type,prompt,options,correct_answer,video_url
q_auto_05,2025,MCQ,Question 5: What is the most effective approach to ensuring that automation benefits society as a whole?,"A: Allow market forces to guide the adoption of automation, trusting that economic growth will naturally lead to broader societal benefits.|B: Prioritise technological advancement and productivity gains, with social concerns addressed only after implementation.|C: Encourage collaboration between policymakers, educators, and businesses to promote inclusivity, skill development, and sustainability.|D: Limit the use of automation to industries with low employment rates.",C,https://youtu.be/v6fNh1AxZ-M
q_auto_06,2025,MCQ,"Question 6: A real estate agency wants to build a model to predict whether a house is likely to be sold within 60 days based on features such as its price, location score, number of bedrooms, and age. Which regression model is most appropriate, and why?","A: Linear regression, because it can handle multiple input features and will predict the number of days it takes to sell the house.|B: Polynomial regression, because housing data often involves curved relationships between price and location.|C: Logistic regression, because the goal is to classify whether a house will be sold within a specific time frame.|D: Polynomial regression, because the number of bedrooms and age of the house are discrete variables requiring non-linear models.",C,https://youtu.be/LDdrLWiJJxc
q_auto_11,2025,MCQ,Question 11: Increased automation in the workplace typically leads to which of the following coordinated sets of socioeconomic impacts?,"A: Greater job satisfaction for manual labourers and increased systemic access to public transport systems.|B: Reduced demand for certain low-skilled jobs, improved safety in high-risk environments, lowered industrial labor costs, and a heightened necessity for worker reskilling.|C: Decreased energy consumption from all modern industries paired with highly diversified cultural representation in media.|D: Total elimination of operational workplace vulnerabilities without any shifts in labor requirements or retraining costs.",B,https://youtu.be/LDdrLWiJJxc
q_auto_15,2025,MCQ,Question 15: Which machine learning paradigm is explicitly required when training an autonomous robot to navigate a maze or teaching a virtual AI agent to win a game via trial-and-error interactions?,A: Supervised learning|B: Unsupervised learning|C: Semi-supervised learning|D: Reinforcement learning,D,https://youtu.be/GyeQd_iOikY
q_auto_25_1,2025,MCQ,Question 25.1: Which option accurately describes the data characteristics and primary objective of supervised machine learning?,"A: It analyzes unlabelled historical data arrays to establish clusters without human oversight.|B: It maps inputs to known outputs using labelled training data to learn structural relationships and predict continuous or discrete values.|C: It bypasses datasets completely, learning solely from real-time environmental context and penalties.|D: It is exclusively restricted to predicting discrete house values without handling multivariable data points.",B,https://youtu.be/qaLEd-6QF_o
q_auto_25_2,2025,MCQ,"Question 25.2: When an algorithm processes a completely unlabelled raw dataset to find internal structural patterns or naturally segment customer habits without being given matching ""correct answers,"" it is executing:",A: Supervised learning|B: Reinforcement learning|C: Unsupervised learning|D: Polynomial feature scaling,C,https://youtu.be/qaLEd-6QF_o
q_auto_26_1,2025,MCQ,"Question 26.1: What is the primary role of ""weights"" within an artificial neural network configuration during the training phase?",A: They dictate the number of hidden structural computation layers configured in the model.|B: They define the maximum number of training datasets that can be uploaded concurrently.|C: They modulate and control the exact degree of influence that any given input node exerts on the final output value.|D: They act as binary error flags that clear network memory during code runtime execution.,C,https://youtu.be/qG1FzPaBdnQ
q_auto_26_2,2025,MCQ,Question 26.2: How does the backpropagation mechanism mathematically function to facilitate learning inside a multi-layered network?,"A: It shuffles the input parameters randomly until the prediction matches the expected output metric.|B: It drops erroneous database inputs at the initial input layer before compiling the loop.|C: It computes an error value by comparing output predictions against the correct answer, then traverses backward through network layers to adjust weights and minimize error.|D: It converts non-linear network components back into simple linear single-variable functions.",C,https://youtu.be/qG1FzPaBdnQ
q_auto_26_3,2025,MCQ,Question 26.3: Why must a training neural network repeat the weight assignment and backpropagation process over many iterations (repetitions)?,A: To guarantee that the software code architecture maintains object encapsulation.|B: To incrementally correct performance variations and gradually converge upon the optimal weights for accurate forecasting.|C: To strip out unwanted hidden layers and save client deployment memory workspace.|D: To ensure that data attributes remain in an entirely unlabelled processing state.,B,https://youtu.be/qG1FzPaBdnQ
q_auto_27_1,2025,MCQ,Question 27.1: You are developing a system designed to predict continuous numerical student test scores based on individual study hours. Which machine learning option is most structurally appropriate?,A: Logistic Regression|B: Unsupervised K-Means|C: Linear Regression|D: Reinforcement maze pathing,C,https://youtu.be/UbVeME-G2EY
q_auto_27_2,2025,MCQ,"Question 27.2: When building a predictive model using an Object-Oriented Programming (OOP) library such as scikit-learn, what is the correct sequence of API execution events?",A: .predict() new metrics -> .fit() existing values -> Instantiate objects -> Import modules.|B: Import the estimator class -> Instantiate the model object -> Call .fit() to train -> Call .predict() to evaluate.|C: Instantiate an abstract function -> Populate local list arrays -> Clear global classes.|D: Append array labels -> Inherit custom properties -> Instantiate training structures post-prediction.,B,https://youtu.be/UbVeME-G2EY
q_auto_27_3,2025,MCQ,"Question 27.3: To establish a working continuous model instance linking student history to prospective metrics, what structural data attributes must be explicitly supplied for effective pipeline training?",A: Categorical student identification strings and random database time indexes.|B: Numerical hours studied (as the key input feature) along with corresponding past test scores (as the targeted training label).|C: Purely unlabelled coordinate variables absent of explicit academic outcomes.|D: Global state variables managing internal thread locks and object constructors.,B,https://youtu.be/UbVeME-G2EY
q_auto_28_1,2025,MCQ,"Question 28.1: Reviewing the algorithmic loop structure of the K-Nearest Neighbours (KNN) classifier, what mathematical task must be performed for an unclassified query coordinate against the dataset?",A: Calculate the cross-entropy gradient loss across the neural connections.|B: Compute the Euclidean distance between the new data point and every individual coordinate vector stored inside the training dataset.|C: Average all target vector properties into a solitary synthetic benchmark class.|D: Execute an unweighted matrix dot product on all historical sample string lengths.,B,https://youtu.be/PVwh-kl469U
q_auto_28_2,2025,MCQ,"Question 28.2: Once distance measurements are fully populated for an incoming entry in a KNN pipeline, how does the script accurately isolate the correct comparative target subset?",A: It drops high-value entries arbitrarily to fit local buffer limits.|B: It sorts the computed distance tracking array in ascending order and isolates the top k items with the shortest distance values.|C: It loops through properties recursively until it strikes a mismatched data type flag.|D: It maps the calculations to a class constructor to reassign internal model weights.,B,https://youtu.be/PVwh-kl469U
q_auto_28_3,2025,MCQ,"Question 28.3: After filtering and locking down the k closest neighbors inside a KNN implementation, how does the function derive the ultimate prediction label for output?",A: It calculates the mean center point of all available tracking spaces.|B: It returns the single label that presents the largest structural variance.|C: It extracts the categorical string labels of those k points and determines the mode (the most frequent label).|D: It feeds the localized collection into a backend linear regression function.,C,https://youtu.be/PVwh-kl469U
